symbol,cluster,priority,status,rows,action
AAVEUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
ADAUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
ALGOUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
APEUSDT,IN_REPO,P0/P1,AVAILABLE,37593,NONE
APTUSDT,IN_REPO,P0/P1,AVAILABLE,32422,NONE
ARBUSDT,IN_REPO,P0/P1,AVAILABLE,28689,NONE
ATOMUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
AVAXUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
AXSUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
BCHUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
BNBUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
BTCUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
COMPUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
CRVUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
DOGEUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
DOTUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
EOSUSDT,IN_REPO,P0/P1,AVAILABLE,29674,NONE
ETCUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
ETHUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
FILUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
FTMUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
GALAUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
GRTUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
HBARUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
ICPUSDT,IN_REPO,P0/P1,AVAILABLE,38776,NONE
IMXUSDT,IN_REPO,P0/P1,AVAILABLE,38300,NONE
INJUSDT,IN_REPO,P0/P1,AVAILABLE,33934,NONE
KAVAUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
KSMUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
LDOUSDT,IN_REPO,P0/P1,AVAILABLE,33060,NONE
LINKUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
LTCUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
MANAUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
MKRUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
NEARUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
OPUSDT,IN_REPO,P0/P1,AVAILABLE,35770,NONE
QNTUSDT,IN_REPO,P0/P1,AVAILABLE,32398,NONE
RUNEUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
SANDUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
SNXUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
SOLUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
STXUSDT,IN_REPO,P0/P1,AVAILABLE,29410,NONE
SUIUSDT,IN_REPO,P0/P1,AVAILABLE,27704,NONE
THETAUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
TIAUSDT,IN_REPO,P0/P1,AVAILABLE,23358,NONE
TRXUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
UNIUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
VETUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
WIFUSDT,IN_REPO,P0/P1,AVAILABLE,21466,NONE
XLMUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
XMRUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
XRPUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
YFIUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
ZECUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
ZILUSDT,IN_REPO,P0/P1,AVAILABLE,39287,NONE
ZRXUSDT,IN_REPO,P0/P1,AVAILABLE,39408,NONE
SHIBUSDT,MEME_RETAIL,P1_EXPANSION,MISSING,0,DOWNLOAD
PEPEUSDT,MEME_RETAIL,P1_EXPANSION,MISSING,0,DOWNLOAD
FLOKIUSDT,MEME_RETAIL,P1_EXPANSION,MISSING,0,DOWNLOAD
FETUSDT,AI_DATA,P2_OPTIONAL,MISSING,0,DOWNLOAD
RENDERUSDT,AI_DATA,P2_OPTIONAL,MISSING,0,DOWNLOAD
OCEANUSDT,AI_DATA,P2_OPTIONAL,MISSING,0,DOWNLOAD
WLDUSDT,AI_DATA,P2_OPTIONAL,MISSING,0,DOWNLOAD
