symbol,filename,missing_candle_count,duplicate_timestamp_count,timestamp_ordered
ICPUSDT,ICPUSDT_1h.parquet,6,0,YES
FILUSDT,FILUSDT_1h.parquet,2,0,YES
FILUSDT,FILUSDT_1h_with_derivatives.parquet,2,0,YES
FTMUSDT,FTMUSDT_1h.parquet,2,0,YES
GRTUSDT,GRTUSDT_1h.parquet,2,0,YES
HBARUSDT,HBARUSDT_1h.parquet,2,0,YES
IMXUSDT,IMXUSDT_1h.parquet,2,0,YES
KSMUSDT,KSMUSDT_1h.parquet,2,0,YES
LTCUSDT,LTCUSDT_1h.parquet,2,0,YES
LTCUSDT,LTCUSDT_1h_with_derivatives.parquet,2,0,YES
MANAUSDT,MANAUSDT_1h.parquet,2,0,YES
MKRUSDT,MKRUSDT_1h.parquet,2,0,YES
NEARUSDT,NEARUSDT_1h.parquet,2,0,YES
SANDUSDT,SANDUSDT_1h.parquet,2,0,YES
SOLUSDT,SOLUSDT_1h.parquet,2,0,YES
TRXUSDT,TRXUSDT_1h.parquet,2,0,YES
VETUSDT,VETUSDT_1h.parquet,2,0,YES
XLMUSDT,XLMUSDT_1h.parquet,2,0,YES
XRPUSDT,XRPUSDT_1h.parquet,2,0,YES
XRPUSDT,XRPUSDT_1h_with_derivatives.parquet,2,0,YES
YFIUSDT,YFIUSDT_1h.parquet,2,0,YES
ZECUSDT,ZECUSDT_1h.parquet,2,0,YES
ZILUSDT,ZILUSDT_1h.parquet,2,0,YES
SOLUSDT,SOLUSDT_1h.parquet,2,0,YES
